Organisation,Active_Status_Count,Active_Status_Relative
AEB,3,0.0037974683544303796
Arianespace,114,0.14430379746835442
Blue Origin,12,0.015189873417721518
Boeing,1,0.0012658227848101266
CASC,211,0.2670886075949367
CASIC,1,0.0012658227848101266
ESA,1,0.0012658227848101266
ExPace,10,0.012658227848101266
Exos,4,0.005063291139240506
IAI,5,0.006329113924050633
ILS,13,0.016455696202531647
IRGC,1,0.0012658227848101266
ISA,9,0.01139240506329114
ISRO,50,0.06329113924050633
JAXA,6,0.007594936708860759
KCST,3,0.0037974683544303796
Khrunichev,1,0.0012658227848101266
Land Launch,7,0.008860759493670886
MHI,32,0.04050632911392405
MITT,6,0.007594936708860759
Northrop,63,0.07974683544303797
OneSpace,1,0.0012658227848101266
Rocket Lab,13,0.016455696202531647
Roscosmos,32,0.04050632911392405
Sandia,1,0.0012658227848101266
Sea Launch,36,0.04556962025316456
SpaceX,38,0.04810126582278481
ULA,87,0.11012658227848102
VKS RF,27,0.03417721518987342
Virgin Orbit,1,0.0012658227848101266
i-Space,1,0.0012658227848101266
