Year,Active_Status_Count,Active_Status_Relative
1982,1,0.0012658227848101266
1983,1,0.0012658227848101266
1984,1,0.0012658227848101266
1985,1,0.0012658227848101266
1986,1,0.0012658227848101266
1987,2,0.002531645569620253
1988,1,0.0012658227848101266
1990,1,0.0012658227848101266
1992,2,0.002531645569620253
1993,2,0.002531645569620253
1994,5,0.006329113924050633
1995,1,0.0012658227848101266
1996,6,0.007594936708860759
1997,13,0.016455696202531647
1998,13,0.016455696202531647
1999,11,0.013924050632911392
2000,11,0.013924050632911392
2001,6,0.007594936708860759
2002,9,0.01139240506329114
2003,16,0.020253164556962026
2004,15,0.0189873417721519
2005,16,0.020253164556962026
2006,24,0.030379746835443037
2007,24,0.030379746835443037
2008,28,0.035443037974683546
2009,22,0.027848101265822784
2010,17,0.021518987341772152
2011,28,0.035443037974683546
2012,29,0.03670886075949367
2013,27,0.03417721518987342
2014,33,0.04177215189873418
2015,38,0.04810126582278481
2016,66,0.08354430379746836
2017,64,0.0810126582278481
2018,93,0.11772151898734177
2019,100,0.12658227848101267
2020,62,0.07848101265822785
