Organisation,Successful_Missions,Failed_Missions,Total_Missions,Successful_Missions_Relativ,Failed_Missions_Relativ,Total_Missions_Relativ
AEB,0.0,3.0,3,0.0,0.006741573033707865,0.0006938020351526364
AMBA,4.0,4.0,8,0.0010311936065996391,0.008988764044943821,0.0018501387604070306
ASI,9.0,0.0,9,0.002320185614849188,0.0,0.0020814061054579094
Arianespace,269.0,10.0,279,0.06934777004382572,0.02247191011235955,0.06452358926919519
Arm??e de l'Air,3.0,1.0,4,0.0007733952049497294,0.0022471910112359553,0.0009250693802035153
Blue Origin,12.0,0.0,12,0.0030935808197989174,0.0,0.0027752081406105457
Boeing,131.0,5.0,136,0.03377159061613818,0.011235955056179775,0.03145235892691952
CASC,231.0,20.0,251,0.05955143078112916,0.0449438202247191,0.05804810360777058
CASIC,3.0,2.0,5,0.0007733952049497294,0.0044943820224719105,0.001156336725254394
CECLES,1.0,3.0,4,0.0002577984016499098,0.006741573033707865,0.0009250693802035153
CNES,6.0,2.0,8,0.0015467904098994587,0.0044943820224719105,0.0018501387604070306
Douglas,1.0,0.0,1,0.0002577984016499098,0.0,0.00023126734505087883
EER,0.0,1.0,1,0.0,0.0022471910112359553,0.00023126734505087883
ESA,9.0,4.0,13,0.002320185614849188,0.008988764044943821,0.0030064754856614245
Eurockot,12.0,1.0,13,0.0030935808197989174,0.0022471910112359553,0.0030064754856614245
ExPace,9.0,1.0,10,0.002320185614849188,0.0022471910112359553,0.002312673450508788
Exos,0.0,4.0,4,0.0,0.008988764044943821,0.0009250693802035153
General Dynamics,203.0,48.0,251,0.05233307553493168,0.10786516853932585,0.05804810360777058
IAI,9.0,2.0,11,0.002320185614849188,0.0044943820224719105,0.002543940795559667
ILS,45.0,1.0,46,0.01160092807424594,0.0022471910112359553,0.010638297872340425
IRGC,1.0,0.0,1,0.0002577984016499098,0.0,0.00023126734505087883
ISA,4.0,9.0,13,0.0010311936065996391,0.020224719101123594,0.0030064754856614245
ISAS,26.0,4.0,30,0.006702758442897654,0.008988764044943821,0.006938020351526364
ISRO,63.0,13.0,76,0.016241299303944315,0.029213483146067417,0.01757631822386679
JAXA,6.0,1.0,7,0.0015467904098994587,0.0022471910112359553,0.0016188714153561516
KARI,1.0,2.0,3,0.0002577984016499098,0.0044943820224719105,0.0006938020351526364
KCST,2.0,3.0,5,0.0005155968032998196,0.006741573033707865,0.001156336725254394
Khrunichev,1.0,0.0,1,0.0002577984016499098,0.0,0.00023126734505087883
Kosmotras,21.0,1.0,22,0.005413766434648105,0.0022471910112359553,0.005087881591119334
Land Launch,6.0,1.0,7,0.0015467904098994587,0.0022471910112359553,0.0016188714153561516
Landspace,0.0,1.0,1,0.0,0.0022471910112359553,0.00023126734505087883
Lockheed,74.0,5.0,79,0.019077081722093322,0.011235955056179775,0.018270120259019425
MHI,80.0,4.0,84,0.020623872131992783,0.008988764044943821,0.01942645698427382
MITT,6.0,1.0,7,0.0015467904098994587,0.0022471910112359553,0.0016188714153561516
Martin Marietta,100.0,14.0,114,0.025779840164990978,0.03146067415730337,0.026364477335800184
NASA,186.0,17.0,203,0.04795050270688322,0.038202247191011236,0.0469472710453284
Northrop,74.0,9.0,83,0.019077081722093322,0.020224719101123594,0.019195189639222943
OKB-586,2.0,0.0,2,0.0005155968032998196,0.0,0.00046253469010175765
OneSpace,0.0,1.0,1,0.0,0.0022471910112359553,0.00023126734505087883
RAE,1.0,1.0,2,0.0002577984016499098,0.0022471910112359553,0.00046253469010175765
RVSN USSR,1614.0,163.0,1777,0.41608662026295434,0.36629213483146067,0.41096207215541164
Rocket Lab,11.0,2.0,13,0.0028357824181490074,0.0044943820224719105,0.0030064754856614245
Roscosmos,51.0,4.0,55,0.013147718484145398,0.008988764044943821,0.012719703977798334
SRC,2.0,1.0,3,0.0005155968032998196,0.0022471910112359553,0.0006938020351526364
Sandia,0.0,1.0,1,0.0,0.0022471910112359553,0.00023126734505087883
Sea Launch,33.0,3.0,36,0.008507347254447023,0.006741573033707865,0.008325624421831638
SpaceX,94.0,6.0,100,0.02423304975509152,0.01348314606741573,0.02312673450508788
Starsem,1.0,0.0,1,0.0002577984016499098,0.0,0.00023126734505087883
ULA,139.0,1.0,140,0.035833977829337456,0.0022471910112359553,0.032377428307123035
US Air Force,129.0,32.0,161,0.033255993812838364,0.07191011235955057,0.03723404255319149
US Navy,2.0,15.0,17,0.0005155968032998196,0.033707865168539325,0.00393154486586494
UT,1.0,4.0,5,0.0002577984016499098,0.008988764044943821,0.001156336725254394
VKS RF,188.0,13.0,201,0.04846609951018304,0.029213483146067417,0.046484736355226645
Virgin Orbit,0.0,1.0,1,0.0,0.0022471910112359553,0.00023126734505087883
Yuzhmash,2.0,0.0,2,0.0005155968032998196,0.0,0.00046253469010175765
i-Space,1.0,0.0,1,0.0002577984016499098,0.0,0.00023126734505087883
