Year,Successful_Missions,Failed_Missions,Total_Missions,Successful_Missions_Relativ,Failed_Missions_Relativ,Total_Missions_Relativ
1957,2,1,3,0.0005155968032998196,0.0022471910112359553,0.0006938020351526364
1958,6,22,28,0.0015467904098994587,0.04943820224719101,0.0064754856614246065
1959,8,12,20,0.0020623872131992783,0.02696629213483146,0.004625346901017576
1960,19,20,39,0.004898169631348285,0.0449438202247191,0.009019426456984274
1961,32,20,52,0.008249548852797113,0.0449438202247191,0.012025901942645698
1962,65,17,82,0.016756896107244134,0.038202247191011236,0.018963922294172063
1963,29,12,41,0.0074761536478473835,0.02696629213483146,0.009481961147086031
1964,48,12,60,0.01237432327919567,0.02696629213483146,0.013876040703052728
1965,74,13,87,0.019077081722093322,0.029213483146067417,0.02012025901942646
1966,81,20,101,0.02088167053364269,0.0449438202247191,0.02335800185013876
1967,87,19,106,0.02242846094354215,0.04269662921348315,0.024514338575393153
1968,92,11,103,0.023717452951791698,0.024719101123595506,0.02382053654024052
1969,85,18,103,0.02191286414024233,0.04044943820224719,0.02382053654024052
1970,93,14,107,0.02397525135344161,0.03146067415730337,0.024745605920444034
1971,105,14,119,0.027068832173240527,0.03146067415730337,0.02752081406105458
1972,89,10,99,0.02294405774684197,0.02247191011235955,0.022895467160037004
1973,96,7,103,0.02474864655839134,0.015730337078651686,0.02382053654024052
1974,90,8,98,0.02320185614849188,0.017977528089887642,0.022664199814986123
1975,107,6,113,0.027584428976540346,0.01348314606741573,0.026133209990749307
1976,108,5,113,0.027842227378190254,0.011235955056179775,0.026133209990749307
1977,110,4,114,0.028357824181490073,0.008988764044943821,0.026364477335800184
1978,94,3,97,0.02423304975509152,0.006741573033707865,0.022432932469935246
1979,46,3,49,0.011858726475895849,0.006741573033707865,0.011332099907493062
1980,49,6,55,0.01263212168084558,0.01348314606741573,0.012719703977798334
1981,65,6,71,0.016756896107244134,0.01348314606741573,0.016419981498612395
1982,62,5,67,0.015983500902294407,0.011235955056179775,0.015494912118408881
1983,65,1,66,0.016756896107244134,0.0022471910112359553,0.015263644773358002
1984,66,3,69,0.017014694508894045,0.006741573033707865,0.015957446808510637
1985,68,6,74,0.017530291312193864,0.01348314606741573,0.017113783533765033
1986,56,6,62,0.014436710492394948,0.01348314606741573,0.014338575393154487
1987,53,3,56,0.013663315287445217,0.006741573033707865,0.012950971322849213
1988,57,2,59,0.014694508894044857,0.0044943820224719105,0.01364477335800185
1989,50,2,52,0.012889920082495489,0.0044943820224719105,0.012025901942645698
1990,76,4,80,0.01959267852539314,0.008988764044943821,0.018501387604070305
1991,54,5,59,0.013921113689095127,0.011235955056179775,0.01364477335800185
1992,59,3,62,0.015210105697344677,0.006741573033707865,0.014338575393154487
1993,57,4,61,0.014694508894044857,0.008988764044943821,0.014107308048103609
1994,58,6,64,0.014952307295694767,0.01348314606741573,0.014801110083256245
1995,53,8,61,0.013663315287445217,0.017977528089887642,0.014107308048103609
1996,56,4,60,0.014436710492394948,0.008988764044943821,0.013876040703052728
1997,64,6,70,0.016499097705594226,0.01348314606741573,0.016188714153561518
1998,61,7,68,0.015725702500644496,0.015730337078651686,0.01572617946345976
1999,51,6,57,0.013147718484145398,0.01348314606741573,0.013182238667900092
2000,53,4,57,0.013663315287445217,0.008988764044943821,0.013182238667900092
2001,40,3,43,0.010311936065996391,0.006741573033707865,0.009944495837187789
2002,47,2,49,0.01211652487754576,0.0044943820224719105,0.011332099907493062
2003,48,4,52,0.01237432327919567,0.008988764044943821,0.012025901942645698
2004,37,3,40,0.009538540861046661,0.006741573033707865,0.009250693802035153
2005,34,3,37,0.008765145656096932,0.006741573033707865,0.008556891766882516
2006,46,3,49,0.011858726475895849,0.006741573033707865,0.011332099907493062
2007,46,4,50,0.011858726475895849,0.008988764044943821,0.01156336725254394
2008,45,3,48,0.01160092807424594,0.006741573033707865,0.011100832562442183
2009,47,3,50,0.01211652487754576,0.006741573033707865,0.01156336725254394
2010,34,3,37,0.008765145656096932,0.006741573033707865,0.008556891766882516
2011,40,2,42,0.010311936065996391,0.0044943820224719105,0.00971322849213691
2012,34,4,38,0.008765145656096932,0.008988764044943821,0.008788159111933395
2013,43,3,46,0.01108533127094612,0.006741573033707865,0.010638297872340425
2014,51,2,53,0.013147718484145398,0.0044943820224719105,0.012257169287696577
2015,48,4,52,0.01237432327919567,0.008988764044943821,0.012025901942645698
2016,86,4,90,0.02217066254189224,0.008988764044943821,0.020814061054579093
2017,84,8,92,0.02165506573859242,0.017977528089887642,0.02127659574468085
2018,113,4,117,0.029131219386439804,0.008988764044943821,0.02705827937095282
2019,100,9,109,0.025779840164990978,0.020224719101123594,0.02520814061054579
2020,57,6,63,0.014694508894044857,0.01348314606741573,0.014569842738205366
