Country,Total_Spending,Spending_Relative
Australia,0.0,0.0
Barents Sea,0.0,0.0
Brazil,0.0,0.0
China,6363.26,0.051660035487524805
France,16285.0,0.13220954006505178
Gran Canaria,80.0,0.000649478858164209
India,2177.0,0.017673943427793538
Iran,0.0,0.0
Israel,0.0,0.0
Japan,3700.5,0.030042456432958192
Kazakhstan,2150.5,0.017458803556026643
Kenya,0.0,0.0
New Mexico,0.0,0.0
New Zealand,97.5,0.0007915523583876297
North Korea,0.0,0.0
Pacific Missile Range Facility,15.0,0.00012177728590578919
Pacific Ocean,0.0,0.0
Russia,2189.2999999999997,0.017773800802236284
Shahrud Missile Test Site,0.0,0.0
South Korea,0.0,0.0
USA,90112.32,0.7315755837515977
Yellow Sea,5.3,4.302797435337884e-05
